x,pi2,E2,Delta2,M,psi_minus_x
5375,131.0,138.9710,-7.9710,11.0,-35.0079
5406,131.0,139.5254,-8.5254,11.0,-31.6387
5437,132.0,140.0791,-8.0791,11.0,-11.0509
5468,133.0,140.6320,-7.6320,9.0,-16.2439
5499,134.0,141.1842,-7.1842,10.0,-12.8103
5530,136.0,141.7356,-5.7356,4.0,7.8789
5562,136.0,142.3041,-6.3041,6.0,-6.8802
5594,136.0,142.8719,-6.8719,8.0,4.2504
5625,136.0,143.4212,-7.4212,13.0,-18.1150
5658,139.0,144.0051,-5.0051,12.0,0.7194
5690,139.0,144.5706,-5.5706,7.0,3.2947
5722,139.0,145.1354,-6.1354,6.0,5.8914
5755,140.0,145.7171,-5.7171,5.0,7.5140
5788,140.0,146.2979,-6.2979,5.0,-8.1613
5821,140.0,146.8781,-6.8781,5.0,2.1724
5854,141.0,147.4574,-6.4574,1.0,12.5364
5887,143.0,148.0360,-5.0360,-9.0,31.6010
5921,143.0,148.6314,-5.6314,-5.0,14.9664
5954,143.0,149.2085,-6.2085,-4.0,16.7212
5988,143.0,149.8023,-6.8023,-4.0,0.1149
6022,143.0,150.3954,-7.3954,3.0,-16.4830
6057,143.0,151.0050,-8.0050,3.0,-7.9508
6091,144.0,151.5965,-7.5965,-2.0,1.6129
6126,144.0,152.2046,-8.2046,-2.0,-7.2333
6161,145.0,152.8119,-7.8119,-5.0,-7.3433
6196,145.0,153.4184,-8.4184,0.0,-24.8890
6231,146.0,154.0241,-8.0241,-10.0,1.2495
6267,146.0,154.6464,-8.6464,-9.0,-4.1573
6302,148.0,155.2505,-7.2505,-15.0,13.3173
6338,148.0,155.8711,-7.8711,-19.0,21.0773
6374,149.0,156.4909,-7.4909,-24.0,37.6234
6411,149.0,157.1271,-8.1271,-20.0,26.9101
6447,149.0,157.7453,-8.7453,-14.0,8.4457
6484,150.0,158.3799,-8.3799,-20.0,15.3161
6521,150.0,159.0136,-9.0136,-12.0,-4.1229
6558,151.0,159.6465,-8.6465,-14.0,-5.9771
6596,152.0,160.2957,-8.2957,-20.0,1.0745
6633,152.0,160.9269,-8.9269,-14.0,-9.5372
6671,153.0,161.5744,-8.5744,-11.0,-12.3262
6709,155.0,162.2211,-7.2211,-19.0,11.3346
6747,155.0,162.8669,-7.8669,-16.0,-0.2226
6786,157.0,163.5289,-6.5289,-17.0,-3.9410
6824,158.0,164.1730,-6.1730,-13.0,-6.6408
6863,159.0,164.8333,-5.8333,-20.0,10.2884
6902,160.0,165.4927,-5.4927,-16.0,11.0530
6942,160.0,166.1682,-6.1682,-13.0,-2.4241
6981,162.0,166.8259,-4.8259,-24.0,20.5130
7021,162.0,167.4996,-5.4996,-29.0,33.6356
7061,162.0,168.1725,-6.1725,-24.0,29.0739
7101,162.0,168.8444,-6.8444,-14.0,6.8022
7142,163.0,169.5324,-6.5324,-9.0,10.1540
7182,163.0,170.2026,-7.2026,0.0,-3.2162
7223,164.0,170.8888,-6.8888,-3.0,9.0789
7264,164.0,171.5741,-7.5741,3.0,12.5171
7306,164.0,172.2752,-8.2752,5.0,-11.6944
7347,166.0,172.9587,-6.9587,6.0,-8.2025
7389,167.0,173.6580,-6.6580,8.0,-23.4925
7431,167.0,174.3564,-7.3564,13.0,-38.7620
7474,168.0,175.0706,-7.0706,19.0,-46.0981
7516,169.0,175.7672,-6.7672,13.0,-34.5702
7559,171.0,176.4795,-5.4795,6.0,-6.1488
7602,172.0,177.1909,-5.1909,-2.0,4.4501
7646,172.0,177.9180,-5.9180,2.0,5.1444
7689,172.0,178.6276,-6.6276,-3.0,6.8709
7733,172.0,179.3527,-7.3527,-6.0,16.5726
7777,173.0,180.0770,-7.0770,-4.0,8.3957
7821,173.0,180.8004,-7.8004,-2.0,-8.7188
7866,173.0,181.5392,-8.5392,5.0,-17.8527
7911,174.0,182.2771,-8.2771,2.0,-0.0447
7956,175.0,183.0141,-8.0141,-8.0,13.3190
8001,175.0,183.7501,-8.7501,-1.0,-13.7122
8047,176.0,184.5016,-8.5016,9.0,-23.7539
8093,177.0,185.2521,-8.2521,10.0,-6.7775
8139,177.0,186.0016,-9.0016,15.0,-16.7726
8185,177.0,186.7502,-9.7502,20.0,-17.7345
8232,179.0,187.5142,-8.5142,19.0,-18.9733
8279,179.0,188.2771,-9.2771,19.0,-11.8633
8326,180.0,189.0391,-9.0391,16.0,-4.7197
8373,180.0,189.8001,-9.8001,22.0,-15.5980
8421,181.0,190.5764,-9.5764,24.0,-27.4574
8469,182.0,191.3517,-9.3517,21.0,-12.1697
8517,182.0,192.1260,-10.1260,32.0,-42.0724
8566,183.0,192.9154,-9.9154,33.0,-36.7585
8614,184.0,193.6878,-9.6878,27.0,-39.4657
8664,185.0,194.4913,-9.4913,25.0,-35.0819
8713,185.0,195.2778,-10.2778,17.0,-11.5216
8763,185.0,196.0793,-11.0793,12.0,2.0091
8813,185.0,196.8798,-11.8798,11.0,-11.6641
8863,188.0,197.6794,-9.6794,3.0,11.0323
8913,188.0,198.4779,-10.4779,7.0,-11.6923
8964,188.0,199.2914,-11.2914,5.0,-8.1026
9015,191.0,200.1038,-9.1038,0.0,4.6291
9066,192.0,200.9153,-8.9153,0.0,-0.8215
9118,192.0,201.7416,-9.7416,3.0,-16.3607
9170,192.0,202.5669,-10.5669,3.0,-13.6354
9222,192.0,203.3912,-11.3912,-3.0,-1.7496
9275,193.0,204.2303,-11.2303,-2.0,-18.2240
9328,194.0,205.0683,-11.0683,-5.0,-7.2610
9381,195.0,205.9053,-10.9053,-7.0,-5.4003
9434,197.0,206.7413,-9.7413,-16.0,19.3736
9488,199.0,207.5919,-8.5919,-22.0,29.4573
9542,199.0,208.4415,-9.4415,-24.0,30.4212
9597,199.0,209.3058,-10.3058,-19.0,2.9178
9651,200.0,210.1533,-10.1533,-18.0,22.2955
9706,201.0,211.0155,-10.0155,-27.0,13.1849
9762,202.0,211.8922,-9.8922,-30.0,12.2852
9817,203.0,212.7522,-9.7522,-36.0,30.7987
9873,204.0,213.6268,-9.6268,-39.0,39.1642
9929,205.0,214.5003,-9.5003,-40.0,38.3690
9986,205.0,215.3882,-10.3882,-29.0,27.3967
10043,207.0,216.2751,-9.2751,-17.0,7.2472
10100,209.0,217.1609,-8.1609,-17.0,14.7753
10158,210.0,218.0611,-8.0611,-19.0,12.1146
10215,210.0,218.9448,-8.9448,-22.0,24.3263
10274,211.0,219.8583,-8.8583,-27.0,39.2101
10332,213.0,220.7552,-7.7552,-34.0,36.6551
10391,213.0,221.6664,-8.6664,-32.0,33.1264
10450,214.0,222.5765,-8.5765,-24.0,11.1331
10510,216.0,223.5010,-7.5010,-26.0,25.1867
10570,217.0,224.4242,-7.4242,-20.0,11.5013
10630,217.0,225.3464,-8.3464,-21.0,11.7509
10691,217.0,226.2828,-9.2828,-19.0,24.9454
10751,218.0,227.2027,-9.2027,-19.0,20.6269
10813,218.0,228.1521,-10.1521,-16.0,5.0535
10874,219.0,229.0850,-10.0850,-9.0,9.0974
10936,220.0,230.0321,-10.0321,-6.0,-6.4224
10999,221.0,230.9933,-9.9933,-9.0,4.9968
11061,222.0,231.9380,-9.9380,1.0,-10.4574
11124,224.0,232.8969,-8.8969,-2.0,1.0558
11188,226.0,233.8697,-7.8697,-1.0,2.2965
11251,226.0,234.8263,-8.8263,1.0,-14.0724
11316,226.0,235.8119,-9.8119,2.0,-13.7563
11380,227.0,236.7812,-9.7812,9.0,-21.7397
11445,227.0,237.7645,-10.7645,12.0,-21.3423
11510,228.0,238.7466,-10.7466,11.0,-6.8819
11576,229.0,239.7425,-10.7425,18.0,-35.4688
11642,229.0,240.7373,-11.7373,16.0,-35.9552
11708,230.0,241.7308,-11.7308,24.0,-45.7594
11775,231.0,242.7382,-11.7382,42.0,-75.2806
11842,233.0,243.7444,-10.7444,27.0,-29.7619
11909,233.0,244.7493,-11.7493,28.0,-35.7710
11977,235.0,245.7680,-10.7680,17.0,-19.2776
12045,236.0,246.7855,-10.7855,15.0,-21.5200
12114,238.0,247.8167,-9.8167,15.0,-15.3190
12183,239.0,248.8467,-9.8467,16.0,-24.7536
12252,241.0,249.8754,-8.8754,21.0,-27.8755
12322,241.0,250.9177,-9.9177,21.0,-31.9676
12392,242.0,251.9588,-9.9588,12.0,-26.5913
12463,242.0,253.0135,-11.0135,16.0,-22.1698
12534,242.0,254.0670,-12.0670,9.0,-8.2696
12606,243.0,255.1340,-12.1340,2.0,4.6795
12677,244.0,256.1848,-12.1848,3.0,18.6804
12750,244.0,257.2640,-13.2640,8.0,11.8341
12822,245.0,258.3272,-13.3272,8.0,10.7557
12895,245.0,259.4038,-14.4038,4.0,-5.4755
12969,246.0,260.4938,-14.4938,-4.0,15.1972
13043,248.0,261.5826,-13.5826,-13.0,35.9295
13117,248.0,262.6700,-14.6700,-12.0,18.8053
13192,248.0,263.7708,-15.7708,-14.0,38.6535
13267,249.0,264.8703,-15.8703,-19.0,30.0906
13342,250.0,265.9685,-15.9685,-15.0,31.0656
13419,251.0,267.0946,-16.0946,-5.0,11.0815
13495,251.0,268.2048,-17.2048,1.0,11.1403
13572,251.0,269.3282,-18.3282,8.0,-8.7828
13649,251.0,270.4503,-19.4503,5.0,-9.6324
13727,255.0,271.5856,-16.5856,0.0,17.1414
13805,256.0,272.7195,-16.7195,-4.0,15.3810
13884,258.0,273.8666,-15.8666,-6.0,22.2074
13963,260.0,275.0124,-15.0124,7.0,19.5370
14043,262.0,276.1712,-14.1712,18.0,6.3679
14123,263.0,277.3287,-14.3287,20.0,-6.7662
14203,263.0,278.4848,-15.4848,18.0,-19.8568
14284,264.0,279.6540,-15.6540,23.0,-43.4731
14365,265.0,280.8218,-15.8218,11.0,-57.4862
14447,267.0,282.0026,-15.0026,15.0,-34.1530
14530,267.0,283.1964,-16.1964,16.0,-59.6685
14612,270.0,284.3744,-14.3744,6.0,-45.8096
14696,271.0,285.5797,-14.5797,5.0,-41.0847
14779,271.0,286.7693,-15.7693,-7.0,0.6946
14864,271.0,287.9861,-16.9861,-13.0,-7.4751
14948,272.0,289.1871,-17.1871,-20.0,4.6179
15033,272.0,290.4010,-18.4010,-5.0,-13.0767
15119,272.0,291.6277,-19.6277,7.0,-22.1073
15205,273.0,292.8530,-19.8530,7.0,-11.8438
15292,275.0,294.0911,-19.0911,-6.0,7.1173
15379,277.0,295.3277,-18.3277,-8.0,26.1362
15467,277.0,296.5771,-19.5771,-10.0,34.5753
15555,277.0,297.8249,-20.8249,-13.0,14.1214
